1,1
2,2
3,4
4,8
5,16
6,31
7,57
8,99
9,163
10,256
11,386
12,562
13,794
14,1093
15,1471
16,1941
17,2517
18,3214
19,4048
20,5036
21,6196
22,7547
23,9109
24,10903
25,12951
26,15276
27,17902
28,20854
29,24158
30,27841
31,31931
32,36457
33,41449
34,46938
35,52956
36,59536
37,66712
38,74519
39,82993
40,92171
41,102091
42,112792
43,124314
44,136698
45,149986
46,164221
47,179447
48,195709
49,213053
50,231526
51,251176
52,272052
53,294204
54,317683
55,342541
56,368831
57,396607
58,425924
59,456838
60,489406
61,523686
62,559737
63,597619
64,637393
65,679121
66,722866
67,768692
68,816664
69,866848
70,919311
71,974121
72,1031347
73,1091059
74,1153328
75,1218226
76,1285826
77,1356202
78,1429429
79,1505583
80,1584741
81,1666981
82,1752382
83,1841024
84,1932988
85,2028356
86,2127211
87,2229637
88,2335719
89,2445543
90,2559196
91,2676766
92,2798342
93,2924014
94,3053873
95,3188011
96,3326521
97,3469497
98,3617034
99,3769228
100,3926176
